dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,bg,group,aAvg,bAvg,cAvg,alphaAvg,betaAvg,gammaAvg,bgAvg,aDev,bDev,cDev,alphaDev,betaDev,gammaDev,bgDev,aMaxDev,bMaxDev,cMaxDev,alphaMaxDev,betaMaxDev,gammaMaxDev,bgMaxDev
/gpfs/scratch/vkb5066/consis/tetra/0625/2,2,-62.62427513,37,92,5.649908053,5.63904626,10.84737573,89.81061203,89.42369688,89.96128641,0.591223,15,5.648552794,5.648344367,10.84906181,89.67258079,89.68583048,89.92921318,0.589344667,0.001355259,0.009298107,0.001686074,0.138031238,0.262133595,0.032073234,0.001878333,0.008130148,0.009298107,0.003517243,0.254654675,0.262133595,0.0654248,0.001878333
/gpfs/scratch/vkb5066/consis/tetra/0625/3,3,-62.62443839,27,92,5.640422646,5.650621112,10.84723064,89.41792612,89.80836169,89.96256474,0.587748,15,5.648552794,5.648344367,10.84906181,89.67258079,89.68583048,89.92921318,0.589344667,0.008130148,0.002276744,0.00183117,0.254654675,0.12253121,0.033351566,0.001596667,0.008130148,0.009298107,0.003517243,0.254654675,0.262133595,0.0654248,0.001878333
/gpfs/scratch/vkb5066/consis/tetra/0750/1,1,-63.34945898,2,92,5.621540457,5.621726665,10.78822969,89.98651983,90.00002334,89.85099343,0.595697,16,5.612204026,5.612851584,10.78047579,89.98014036,89.86903091,89.89037928,0.588605667,0.009336431,0.008875081,0.007753897,0.006379471,0.130992425,0.039385856,0.007091333,0.009336431,0.008875081,0.007753897,0.006379471,0.25158485,0.089171712,0.009382667
/gpfs/scratch/vkb5066/consis/tetra/0750/2,2,-63.37478722,34,92,5.603931164,5.605501421,10.775368,89.97778141,89.61744606,89.979551,0.579223,16,5.612204026,5.612851584,10.78047579,89.98014036,89.86903091,89.89037928,0.588605667,0.008272862,0.007350163,0.005107794,0.002358942,0.25158485,0.089171712,0.009382667,0.009336431,0.008875081,0.007753897,0.006379471,0.25158485,0.089171712,0.009382667
/gpfs/scratch/vkb5066/consis/tetra/0750/3,3,-63.34945898,2,92,5.611140457,5.611326665,10.77782969,89.97611983,89.98962334,89.84059343,0.590897,16,5.612204026,5.612851584,10.78047579,89.98014036,89.86903091,89.89037928,0.588605667,0.001063569,0.001524919,0.002646103,0.004020529,0.120592425,0.049785856,0.002291333,0.009336431,0.008875081,0.007753897,0.006379471,0.25158485,0.089171712,0.009382667
/gpfs/scratch/vkb5066/consis/tetra/0875/1,1,-64.14815934,38,92,5.573087714,5.573180786,10.70193138,89.79021707,89.79268737,89.94252258,0.18544,17,5.579928513,5.579920521,10.70716369,89.8006436,89.80084945,89.94468794,0.194911667,0.006840799,0.006739735,0.005232312,0.010426534,0.008162089,0.002165358,0.009471667,0.007305031,0.007197928,0.007672841,0.012228992,0.010087707,0.010572531,0.009471667
/gpfs/scratch/vkb5066/consis/tetra/0875/2,2,-64.14804522,14,92,5.587233544,5.587118449,10.71483653,89.81287259,89.81093716,89.95526047,0.201463,17,5.579928513,5.579920521,10.70716369,89.8006436,89.80084945,89.94468794,0.194911667,0.007305031,0.007197928,0.007672841,0.012228992,0.010087707,0.010572531,0.006551333,0.007305031,0.007197928,0.007672841,0.012228992,0.010087707,0.010572531,0.009471667
/gpfs/scratch/vkb5066/consis/tetra/0875/3,3,-64.14808969,37,92,5.579464281,5.579462329,10.70472316,89.79884114,89.79892384,89.93628076,0.197832,17,5.579928513,5.579920521,10.70716369,89.8006436,89.80084945,89.94468794,0.194911667,0.000464232,0.000458193,0.002440529,0.001802458,0.001925618,0.008407173,0.002920333,0.007305031,0.007197928,0.007672841,0.012228992,0.010087707,0.010572531,0.009471667
/gpfs/scratch/vkb5066/consis/tetra/1000/1,1,-64.93816135,2,92,5.546348449,5.546320025,10.63458913,90.00315992,90.00401725,90.00228283,0.285802,18,5.547381782,5.547353358,10.63562247,90.00419325,90.00505058,90.00331616,0.281435333,0.001033333,0.001033333,0.001033333,0.001033333,0.001033333,0.001033333,0.004366667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.004633333
/gpfs/scratch/vkb5066/consis/tetra/1000/2,2,-64.93816135,2,92,5.545148449,5.545120025,10.63338913,90.00195992,90.00281725,90.00108283,0.281702,18,5.547381782,5.547353358,10.63562247,90.00419325,90.00505058,90.00331616,0.281435333,0.002233333,0.002233333,0.002233333,0.002233333,0.002233333,0.002233333,0.000266667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.004633333
/gpfs/scratch/vkb5066/consis/tetra/1000/3,3,-64.93816135,2,92,5.550648449,5.550620025,10.63888913,90.00745992,90.00831725,90.00658283,0.276802,18,5.547381782,5.547353358,10.63562247,90.00419325,90.00505058,90.00331616,0.281435333,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.004633333,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.003266667,0.004633333
