dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/3/n0.002,n0.002,-58.94013016,-0.0000004,4,226,5.846696811,5.846187131,11.23112071,89.99978691,89.99984656,90.00006367,383.8896304,0.90922,0.93268,1.43225,-0.01001,0.00136,-0.00073
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/3/p0.001,p0.001,-58.94058477,-0.00000149,3,226,5.846696811,5.846187131,11.2648816,89.99976279,89.99983643,90.00006367,385.0436072,-0.46423,-0.44087,-0.6613,-0.00607,0.00175,-0.00055
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/3/p0.002,p0.002,-58.94036014,-0.00000567,3,226,5.846696811,5.846187131,11.27613523,89.99975477,89.99983306,90.00006367,385.4282662,-0.92014,-0.89652,-1.35994,-0.00575,0.00178,-0.00057
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/4/n0.001,n0.001,-58.94048602,-0.00000073,6,226,5.84669876,5.846192854,11.25363583,89.88517921,89.99983001,90.00006728,384.6589483,-0.00579,0.01883,0.03784,-0.00334,0.63464,-0.00087
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/4/n0.002,n0.002,-58.94004005,-0.00000131,11,226,5.846704606,5.84620832,11.25366244,89.77058782,89.99982021,90.00007091,384.6589483,-0.00899,0.01649,0.0354,0.00172,1.25434,-0.00114
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/4/p0.001,p0.001,-58.94048955,-0.0000005,9,226,5.84669876,5.846191151,11.25363887,89.8857896,89.9998496,90.00006006,384.6589483,-0.00375,0.01963,0.0392,-0.00131,-0.62512,-0.00008
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/4/p0.002,p0.002,-58.94004361,-0.00000119,10,226,5.846704606,5.846204916,11.25366852,89.77119821,89.99985939,90.00005646,384.6589483,-0.00677,0.01678,0.03589,0.00137,-1.25083,0.00021
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/5/n0.001,n0.001,-58.94048732,-0.00000077,7,226,5.846701314,5.84618908,11.25363796,89.999761,89.88572062,90.00005532,384.6589483,-0.00514,0.01781,0.03771,-0.00346,0.0014,0.63216
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/5/n0.002,n0.002,-58.94004274,-0.00000009,14,226,5.846715562,5.846194926,11.25366671,89.99975117,89.77112923,90.00004696,384.6589483,-0.00997,0.01333,0.03333,-0.00659,0.00132,1.25105
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/5/p0.001,p0.001,-58.9404868,-0.00000077,6,226,5.846702051,5.846189079,11.25363673,89.99978064,89.88524819,90.000072,384.6589483,-0.00498,0.01863,0.03775,-0.0031,0.00208,-0.63319
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/5/p0.002,p0.002,-58.94004071,-0.00000099,12,226,5.846717037,5.846194926,11.25366425,89.99979045,89.7706568,90.00007171,384.6589483,-0.00729,0.01713,0.03575,0.00224,0.00277,-1.25391
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/6/n0.001,n0.001,-58.94048541,-0.00000078,11,226,5.846702683,5.846191001,11.25363172,89.99977397,89.99984754,89.88549676,384.6589483,-0.00647,0.01704,0.03521,0.64804,0.00196,-0.00067
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/6/n0.002,n0.002,-58.94001678,-0.00000197,11,226,5.846718299,5.846204614,11.25364297,89.99977712,89.99985528,89.77090537,384.6589483,-0.0056,0.01792,0.03549,1.30195,0.00192,-0.00077
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/6/p0.001,p0.001,-58.94048137,-0.00000063,8,226,5.846700683,5.846193005,11.25363172,89.99976769,89.99983207,89.88547205,384.6589483,-0.00455,0.01897,0.03882,-0.65748,0.00193,-0.00029
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/6/p0.002,p0.002,-58.94001021,-0.0000015,11,226,5.8467143,5.846208622,11.25364297,89.99976456,89.99982435,89.77088066,384.6589483,-0.00382,0.0202,0.03939,-1.30928,0.00212,-0.00013
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/7/n0.001,n0.001,-58.94057902,-0.00000077,9,226,5.840852061,5.852035268,11.25363172,89.99977886,89.99983643,90.00006876,384.6589483,0.27419,-0.26406,0.03972,0.00905,0.00205,0.00011
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/7/n0.002,n0.002,-58.94038327,-0.00000016,11,226,5.835011197,5.857887315,11.25364297,89.99978688,89.99983305,90.00004914,384.6589483,0.54916,-0.54462,0.03945,0.00037,0.00221,0.00031
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/7/p0.001,p0.001,-58.94056759,-0.0000007,9,226,5.852545458,5.840342891,11.25363172,89.99976278,89.99984318,90.00004405,384.6589483,-0.28892,0.29844,0.03962,0.00924,0.00293,-0.00069
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/7/p0.002,p0.002,-58.94036032,-0.00000015,11,226,5.858398015,5.834502536,11.25364297,89.99975473,89.99984655,90.00002443,384.6589483,-0.56889,0.57389,0.04009,-0.00018,0.00374,-0.00072
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/8/n0.001,n0.001,-58.94058392,-0.00000217,3,226,5.840852061,5.846189079,11.26488535,89.99976279,89.99983305,90.00007348,384.6589483,0.301,0.03091,-0.20064,-0.00622,0.00158,-0.0006
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/8/n0.002,n0.002,-58.94040234,-0.00000014,12,226,5.835011197,5.846194926,11.27615026,89.99975477,89.9998263,90.00006874,384.6589483,0.58836,0.05998,-0.4457,-0.00456,0.00238,-0.00059
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/8/p0.001,p0.001,-58.94044242,-0.00000181,3,226,5.852545458,5.846189079,11.24237809,89.99977886,89.99984656,90.00005386,384.6589483,-0.32668,-0.0076,0.27424,-0.00882,0.00125,-0.00067
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/8/p0.002,p0.002,-58.94024155,-0.00000085,12,226,5.858398015,5.846194926,11.23113569,89.99978691,89.9998533,90.00004407,384.6589483,-0.61912,-0.03436,0.50113,-0.01863,0.00237,-0.00034
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/9/n0.001,n0.001,-58.94057882,-0.00000214,3,226,5.84669876,5.840342891,11.26488535,89.99975475,89.99983643,90.00005385,384.6589483,0.00796,0.32476,-0.20043,-0.00624,0.00175,-0.00071
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/9/n0.002,n0.002,-58.94039078,-0.00000015,12,226,5.846704606,5.834502536,11.27615026,89.99973867,89.99983306,90.00004403,384.6589483,0.03579,0.61265,-0.44545,-0.00498,0.00281,-0.00075
